player_of_match,no_of_times
"AB de Villiers",24
"CH Gayle",22
"RG Sharma",19
"DA Warner",18
"MS Dhoni",17
"V Kohli",17
"RA Jadeja",16
"SR Watson",16
"YK Pathan",15
"AD Russell",15
